2022-01-25 10:17:48.669 [restartedMain] "  " DEBUG o.s.web.servlet.handler.SimpleUrlHandlerMapping - Patterns [/webjars/**, /**] in 'resourceHandlerMapping'
2022-01-25 10:17:48.676 [restartedMain] "  " DEBUG o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - ControllerAdvice beans: 1 @ExceptionHandler, 1 ResponseBodyAdvice
2022-01-25 10:18:02.259 [http-nio-8088-exec-1] "  " DEBUG org.springframework.web.servlet.DispatcherServlet - Detected StandardServletMultipartResolver
2022-01-25 10:18:02.263 [http-nio-8088-exec-1] "  " DEBUG org.springframework.web.servlet.DispatcherServlet - enableLoggingRequestDetails='false': request parameters and headers will be masked to prevent unsafe logging of potentially sensitive data
2022-01-25 10:18:02.269 [http-nio-8088-exec-1] "  " DEBUG org.springframework.web.servlet.DispatcherServlet - GET "/v1/book/search", parameters={}
2022-01-25 10:18:02.323 [http-nio-8088-exec-1] "  " DEBUG c.f.f.mapper.BookMapper.selectByTitleLikeKeyword - ==>  Preparing: SELECT * FROM book b WHERE b.title LIKE ? AND b.delete_time IS NULL
2022-01-25 10:18:02.336 [http-nio-8088-exec-1] "  " DEBUG c.f.f.mapper.BookMapper.selectByTitleLikeKeyword - ==> Parameters: %%(String)
2022-01-25 10:18:02.356 [http-nio-8088-exec-1] "  " DEBUG c.f.f.mapper.BookMapper.selectByTitleLikeKeyword - <==      Total: 2
2022-01-25 10:18:02.369 [http-nio-8088-exec-1] "  " DEBUG o.s.w.s.m.m.a.RequestResponseBodyMethodProcessor - Using 'application/json', given [*/*] and supported [application/json, application/*+json, application/json, application/*+json]
2022-01-25 10:18:02.369 [http-nio-8088-exec-1] "  " DEBUG o.s.w.s.m.m.a.RequestResponseBodyMethodProcessor - Writing [[BookDO(title=中国为什么有前途, author=翟东升, summary=经济、货币、经济、政治..., image=null), BookDO(title=定价权, author=张捷 (truncated)...]
2022-01-25 10:18:02.398 [http-nio-8088-exec-1] "  " DEBUG org.springframework.web.servlet.DispatcherServlet - Completed 200 OK
2022-01-25 14:42:35.219 [restartedMain] "  " DEBUG org.springframework.web.context.ContextLoader - Published root WebApplicationContext as ServletContext attribute with name [org.springframework.web.context.WebApplicationContext.ROOT]
